Mun_ID,nome,Area_Mun,X_Centroid_Pixel,Y_Centroid_Pixel,ID_Pixel,area_intersect_pixel_in_mun
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.7000000000001,43257,16394620.3999654
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.5000000000001,41944,29221837.7214969
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.7000000000001,43258,10796886.6031404
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.5000000000001,41945,29221837.7214969
123,Conceiçao da Barra,1187090792.80131,-39.9500000000008,-18.3000000000001,40630,7721031.10592621
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.5000000000001,41946,28592108.8592165
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.3000000000001,40631,28418707.3522752
123,Conceiçao da Barra,1187090792.80131,-39.7000000000008,-18.5000000000001,41947,837694.635664011
123,Conceiçao da Barra,1187090792.80131,-40.0000000000008,-18.5000000000001,41941,6576447.25827385
123,Conceiçao da Barra,1187090792.80131,-39.9500000000008,-18.5000000000001,41942,28479488.4012088
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.5000000000001,41943,29221837.7214881
123,Conceiçao da Barra,1187090792.80131,-39.9500000000008,-18.2500000000001,40302,3668149.10124367
123,Conceiçao da Barra,1187090792.80131,-39.6500000000008,-18.3500000000001,40964,2127404.61123633
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.2500000000001,40303,29214462.7801937
123,Conceiçao da Barra,1187090792.80131,-40.0500000000008,-18.4500000000001,41612,188871.170407512
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.6500000000001,42927,652587.675814855
123,Conceiçao da Barra,1187090792.80131,-40.0000000000008,-18.4500000000001,41613,19819630.4894729
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.5500000000001,42272,29213499.9180823
123,Conceiçao da Barra,1187090792.80131,-39.9500000000008,-18.4500000000001,41614,26806526.1574206
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.5500000000001,42273,29213499.9180823
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.3500000000001,40960,29246719.7395712
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.4500000000001,41615,29230153.629552
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.5500000000001,42274,26444561.7789258
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.3500000000001,40961,29246719.7395712
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.3500000000001,40962,29246719.7395712
123,Conceiçao da Barra,1187090792.80131,-39.7000000000008,-18.3500000000001,40963,28640750.6479849
123,Conceiçao da Barra,1187090792.80131,-39.9500000000008,-18.3500000000001,40958,17941042.6999326
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.2500000000001,40304,28614531.5319285
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.3500000000001,40959,29246719.7395712
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.2500000000001,40305,15027349.4681421
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.2500000000001,40306,1009081.73589277
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.6500000000001,42928,22137589.8232442
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.6500000000001,42929,28773775.3871487
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.4500000000001,41616,29230153.6295607
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.6500000000001,42930,20545890.7004556
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.4500000000001,41617,29230153.629552
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.4500000000001,41618,29230153.629552
123,Conceiçao da Barra,1187090792.80131,-39.7000000000008,-18.4500000000001,41619,8567198.38397617
123,Conceiçao da Barra,1187090792.80131,-39.9500000000008,-18.5500000000001,42270,11574281.4538125
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.5500000000001,42271,29212867.5571131
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.2000000000001,39976,4990400.37434384
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.6000000000001,42600,29205140.2242853
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.6000000000001,42601,29205140.2242766
123,Conceiçao da Barra,1187090792.80131,-39.8500000000008,-18.4000000000001,41288,29238447.637227
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.6000000000001,42602,26403376.9487205
123,Conceiçao da Barra,1187090792.80131,-39.8000000000008,-18.4000000000001,41289,29238447.637227
123,Conceiçao da Barra,1187090792.80131,-39.7500000000008,-18.4000000000001,41290,29238447.637227
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.2000000000001,39975,12959175.1326142
123,Conceiçao da Barra,1187090792.80131,-39.7000000000008,-18.4000000000001,41291,19147466.4960548
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.6000000000001,42599,17285966.639045
123,Conceiçao da Barra,1187090792.80131,-39.9500000000008,-18.4000000000001,41286,9906424.42681838
123,Conceiçao da Barra,1187090792.80131,-39.9000000000008,-18.4000000000001,41287,29238447.6372182
123,Conceiçao da Barra,1187090792.80131,-39.6500000000008,-18.3000000000001,40636,2369.14374743458
144,Governador Lindenberg,360015916.270459,-40.5000000000008,-19.2000000000001,46523,29103118.290839
144,Governador Lindenberg,360015916.270459,-40.4500000000008,-19.2500000000001,46852,26037056.5836734
144,Governador Lindenberg,360015916.270459,-40.4000000000008,-19.2500000000001,46853,648957.087703434
144,Governador Lindenberg,360015916.270459,-40.4500000000008,-19.1500000000001,46196,29111740.2735448
144,Governador Lindenberg,360015916.270459,-40.4000000000008,-19.1500000000001,46197,12783829.2248849
144,Governador Lindenberg,360015916.270459,-40.6000000000008,-19.2500000000001,46849,22672786.4617152
144,Governador Lindenberg,360015916.270459,-40.5500000000008,-19.2500000000001,46850,28827938.1147976
144,Governador Lindenberg,360015916.270459,-40.6000000000008,-19.1500000000001,46193,237999.426245564
144,Governador Lindenberg,360015916.270459,-40.5000000000008,-19.2500000000001,46851,29094474.4841065
144,Governador Lindenberg,360015916.270459,-40.5500000000008,-19.1500000000001,46194,17751443.0516163
144,Governador Lindenberg,360015916.270459,-40.5000000000008,-19.1500000000001,46195,22783139.7709123
144,Governador Lindenberg,360015916.270459,-40.4500000000008,-19.1000000000001,45868,10880955.0405109
144,Governador Lindenberg,360015916.270459,-40.4500000000008,-19.3000000000001,47180,5219231.56012636
144,Governador Lindenberg,360015916.270459,-40.4000000000008,-19.1000000000001,45869,9790145.1470837
144,Governador Lindenberg,360015916.270459,-40.3500000000008,-19.1000000000001,45870,1564195.6402705
144,Governador Lindenberg,360015916.270459,-40.4500000000008,-19.2000000000001,46524,29103118.290839
144,Governador Lindenberg,360015916.270459,-40.4000000000008,-19.2000000000001,46525,7677012.04141499
144,Governador Lindenberg,360015916.270459,-40.6000000000008,-19.3000000000001,47177,816737.698213622
144,Governador Lindenberg,360015916.270459,-40.5500000000008,-19.3000000000001,47178,8189142.80320644
144,Governador Lindenberg,360015916.270459,-40.5000000000008,-19.1000000000001,45867,4148703.93303055
144,Governador Lindenberg,360015916.270459,-40.6000000000008,-19.2000000000001,46521,17983492.703796
144,Governador Lindenberg,360015916.270459,-40.5000000000008,-19.3000000000001,47179,16487580.3543881
144,Governador Lindenberg,360015916.270459,-40.5500000000008,-19.2000000000001,46522,29103118.290839
140,Ibiraçu,201247978.241288,-40.4500000000008,-19.7500000000001,50132,5416943.21830225
140,Ibiraçu,201247978.241288,-40.4000000000008,-19.7500000000001,50133,47276.8662342795
140,Ibiraçu,201247978.241288,-40.4500000000008,-19.8000000000001,50460,26419324.1302523
140,Ibiraçu,201247978.241288,-40.3500000000008,-19.7500000000001,50134,1317611.58715746
140,Ibiraçu,201247978.241288,-40.4000000000008,-19.8000000000001,50461,22162433.909545
140,Ibiraçu,201247978.241288,-40.3500000000008,-19.8000000000001,50462,15802415.1070999
140,Ibiraçu,201247978.241288,-40.5000000000008,-19.7500000000001,50131,48561.5202891218
140,Ibiraçu,201247978.241288,-40.4500000000008,-19.8500000000001,50788,25896164.6152163
140,Ibiraçu,201247978.241288,-40.5000000000008,-19.8000000000001,50459,13517209.4354064
140,Ibiraçu,201247978.241288,-40.4000000000008,-19.8500000000001,50789,28989048.4392499
140,Ibiraçu,201247978.241288,-40.3500000000008,-19.8500000000001,50790,16760521.9394416
140,Ibiraçu,201247978.241288,-40.4500000000008,-19.9000000000001,51116,2146397.60133683
140,Ibiraçu,201247978.241288,-40.4000000000008,-19.9000000000001,51117,18297991.1588013
140,Ibiraçu,201247978.241288,-40.3500000000008,-19.9000000000001,51118,11740499.9081989
140,Ibiraçu,201247978.241288,-40.5000000000008,-19.8500000000001,50787,12685579.0963482
150,Itaguaçu,535020657.411941,-40.8000000000008,-19.6000000000001,49141,18278782.7512179
150,Itaguaçu,535020657.411941,-40.7500000000008,-19.6000000000001,49142,30712.9377594135
150,Itaguaçu,535020657.411941,-40.9500000000008,-19.6000000000001,49138,1315633.3604658
150,Itaguaçu,535020657.411941,-40.9000000000008,-19.6000000000001,49139,16579760.9379709
150,Itaguaçu,535020657.411941,-40.8500000000008,-19.8000000000001,50452,28997953.7240853
150,Itaguaçu,535020657.411941,-40.8000000000008,-19.8000000000001,50453,27977695.3853694
150,Itaguaçu,535020657.411941,-40.8500000000008,-19.8500000000001,50780,23426408.8604455
150,Itaguaçu,535020657.411941,-40.8000000000008,-19.8500000000001,50781,8398719.05851817
150,Itaguaçu,535020657.411941,-40.7500000000008,-19.8000000000001,50454,488651.929648411
150,Itaguaçu,535020657.411941,-41.0000000000008,-19.8000000000001,50449,6365174.95451485
150,Itaguaçu,535020657.411941,-40.9500000000008,-19.8000000000001,50450,20025212.1193881
150,Itaguaçu,535020657.411941,-40.9500000000008,-19.8500000000001,50778,11248157.1395445
150,Itaguaçu,535020657.411941,-40.9000000000008,-19.8000000000001,50451,28997953.7240853
150,Itaguaçu,535020657.411941,-40.9000000000008,-19.8500000000001,50779,10137237.6140753
150,Itaguaçu,535020657.411941,-40.8500000000008,-19.7000000000001,49796,29015699.0065312
150,Itaguaçu,535020657.411941,-40.8000000000008,-19.7000000000001,49797,29012800.5691798
150,Itaguaçu,535020657.411941,-40.8500000000008,-19.7500000000001,50124,29006837.248297
150,Itaguaçu,535020657.411941,-40.7500000000008,-19.7000000000001,49798,2247152.93309363
150,Itaguaçu,535020657.411941,-40.8000000000008,-19.7500000000001,50125,27933763.2166694
150,Itaguaçu,535020657.411941,-40.7500000000008,-19.7500000000001,50126,202723.027651524
150,Itaguaçu,535020657.411941,-40.9500000000008,-19.7000000000001,49794,5341974.09007123
150,Itaguaçu,535020657.411941,-41.0000000000008,-19.7500000000001,50121,5712828.30698523
150,Itaguaçu,535020657.411941,-40.9500000000008,-19.7500000000001,50122,28096936.269813
150,Itaguaçu,535020657.411941,-40.9000000000008,-19.7000000000001,49795,28786136.5084533
150,Itaguaçu,535020657.411941,-40.9000000000008,-19.7500000000001,50123,29006837.2483057
150,Itaguaçu,535020657.411941,-40.8500000000008,-19.5500000000001,48812,3375684.50336895
150,Itaguaçu,535020657.411941,-40.9000000000008,-19.5500000000001,48811,5922.27036999982
150,Itaguaçu,535020657.411941,-40.8500000000008,-19.9000000000001,51108,2322961.5787165
150,Itaguaçu,535020657.411941,-40.8000000000008,-19.9000000000001,51109,687553.431989719
150,Itaguaçu,535020657.411941,-40.8500000000008,-19.6500000000001,49468,29024538.9934518
150,Itaguaçu,535020657.411941,-40.8000000000008,-19.6500000000001,49469,28550713.1873748
150,Itaguaçu,535020657.411941,-40.7500000000008,-19.6500000000001,49470,5562182.95681762
150,Itaguaçu,535020657.411941,-40.9500000000008,-19.6500000000001,49466,4717997.40964212
150,Itaguaçu,535020657.411941,-40.9000000000008,-19.6500000000001,49467,29024538.9934518
150,Itaguaçu,535020657.411941,-40.8500000000008,-19.6000000000001,49140,15116821.2672239
124,Sao Roque do Canaa,341944447.8204,-40.7000000000008,-19.6000000000001,49143,211261.082804157
124,Sao Roque do Canaa,341944447.8204,-40.6500000000008,-19.8000000000001,50456,296875.865793126
124,Sao Roque do Canaa,341944447.8204,-40.8000000000008,-19.8000000000001,50453,178356.086194179
124,Sao Roque do Canaa,341944447.8204,-40.7500000000008,-19.8000000000001,50454,27524092.6719193
124,Sao Roque do Canaa,341944447.8204,-40.7000000000008,-19.8000000000001,50455,10557061.8115878
124,Sao Roque do Canaa,341944447.8204,-40.7500000000008,-19.8500000000001,50782,1329823.85152065
124,Sao Roque do Canaa,341944447.8204,-40.6500000000008,-19.6500000000001,49472,17854583.4814465
124,Sao Roque do Canaa,341944447.8204,-40.6500000000008,-19.7000000000001,49800,29015699.0065312
124,Sao Roque do Canaa,341944447.8204,-40.6000000000008,-19.6500000000001,49473,3555349.19422854
124,Sao Roque do Canaa,341944447.8204,-40.6000000000008,-19.7000000000001,49801,28032022.5307203
124,Sao Roque do Canaa,341944447.8204,-40.5500000000008,-19.7000000000001,49802,12307597.4320503
124,Sao Roque do Canaa,341944447.8204,-40.5000000000008,-19.7000000000001,49803,178474.820016624
124,Sao Roque do Canaa,341944447.8204,-40.8000000000008,-19.7000000000001,49797,2898.43734931092
124,Sao Roque do Canaa,341944447.8204,-40.7500000000008,-19.7000000000001,49798,26768546.0734298
124,Sao Roque do Canaa,341944447.8204,-40.8000000000008,-19.7500000000001,50125,1073074.03162251
124,Sao Roque do Canaa,341944447.8204,-40.7000000000008,-19.7000000000001,49799,29015699.0065312
124,Sao Roque do Canaa,341944447.8204,-40.7500000000008,-19.7500000000001,50126,28804114.2206501
124,Sao Roque do Canaa,341944447.8204,-40.7000000000008,-19.7500000000001,50127,28710671.9604087
124,Sao Roque do Canaa,341944447.8204,-40.6500000000008,-19.7500000000001,50128,27954281.552725
124,Sao Roque do Canaa,341944447.8204,-40.6000000000008,-19.7500000000001,50129,18047045.6109845
124,Sao Roque do Canaa,341944447.8204,-40.5500000000008,-19.7500000000001,50130,8780925.65803385
124,Sao Roque do Canaa,341944447.8204,-40.5000000000008,-19.7500000000001,50131,1255107.54796504
124,Sao Roque do Canaa,341944447.8204,-40.7500000000008,-19.6500000000001,49470,11824394.4286591
124,Sao Roque do Canaa,341944447.8204,-40.7000000000008,-19.6500000000001,49471,28578870.1632451
124,Sao Roque do Canaa,341944447.8204,-40.6500000000008,-19.6000000000001,49144,87620.8563170236
128,Marataízes,130207748.291257,-40.9500000000008,-21.1000000000001,58978,8886425.06756783
128,Marataízes,130207748.291257,-40.9000000000008,-21.1000000000001,58979,28759360.0972333
128,Marataízes,130207748.291257,-40.9500000000008,-21.2000000000001,59634,2192167.07671462
128,Marataízes,130207748.291257,-40.9000000000008,-21.2000000000001,59635,638060.306451518
128,Marataízes,130207748.291257,-40.8500000000008,-21.0500000000001,58652,15056415.395867
128,Marataízes,130207748.291257,-40.8000000000008,-21.0500000000001,58653,2049386.3532442
128,Marataízes,130207748.291257,-40.9500000000008,-21.0500000000001,58650,3270993.29712988
128,Marataízes,130207748.291257,-40.9000000000008,-21.0500000000001,58651,14217824.3293888
128,Marataízes,130207748.291257,-40.8500000000008,-21.0000000000001,58324,364151.031880227
128,Marataízes,130207748.291257,-40.8000000000008,-21.0000000000001,58325,3835509.76424328
128,Marataízes,130207748.291257,-40.8500000000008,-21.1500000000001,59308,1588428.13153847
128,Marataízes,130207748.291257,-40.9500000000008,-21.1500000000001,59306,13883475.5183879
128,Marataízes,130207748.291257,-40.9000000000008,-21.1500000000001,59307,19952963.9341327
128,Marataízes,130207748.291257,-40.8500000000008,-21.1000000000001,58980,15512587.9979576
129,Viana,312276624.789438,-40.4000000000008,-20.4500000000001,54725,30673.8276566675
129,Viana,312276624.789438,-40.6500000000008,-20.4500000000001,54720,1144808.03237829
129,Viana,312276624.789438,-40.6000000000008,-20.4500000000001,54721,28508539.7921927
129,Viana,312276624.789438,-40.5500000000008,-20.4500000000001,54722,28754117.7362186
129,Viana,312276624.789438,-40.5000000000008,-20.4500000000001,54723,28873309.7717626
129,Viana,312276624.789438,-40.4500000000008,-20.3500000000001,54068,22351309.4771945
129,Viana,312276624.789438,-40.4000000000008,-20.3500000000001,54069,6585254.35731502
129,Viana,312276624.789438,-40.6000000000008,-20.3500000000001,54065,6121352.08795526
129,Viana,312276624.789438,-40.5500000000008,-20.3500000000001,54066,28620684.3076655
129,Viana,312276624.789438,-40.5000000000008,-20.3500000000001,54067,18074781.6794542
129,Viana,312276624.789438,-40.6000000000008,-20.3000000000001,53737,2968034.26424205
129,Viana,312276624.789438,-40.5500000000008,-20.3000000000001,53738,16549102.0077281
129,Viana,312276624.789438,-40.5000000000008,-20.3000000000001,53739,1303608.30305271
129,Viana,312276624.789438,-40.4500000000008,-20.4000000000001,54396,28889655.6535222
129,Viana,312276624.789438,-40.4000000000008,-20.4000000000001,54397,19342307.1089044
129,Viana,312276624.789438,-40.3500000000008,-20.4000000000001,54398,192169.834320024
129,Viana,312276624.789438,-40.6000000000008,-20.5000000000001,55049,3163038.76291026
129,Viana,312276624.789438,-40.6500000000008,-20.4000000000001,54392,2879.41528217474
129,Viana,312276624.789438,-40.5500000000008,-20.5000000000001,55050,939549.20545075
129,Viana,312276624.789438,-40.6000000000008,-20.4000000000001,54393,5448123.49915327
129,Viana,312276624.789438,-40.5000000000008,-20.5000000000001,55051,9903908.32388501
129,Viana,312276624.789438,-40.5500000000008,-20.4000000000001,54394,19176883.17374
129,Viana,312276624.789438,-40.5000000000008,-20.4000000000001,54395,28889655.6535222
129,Viana,312276624.789438,-40.4500000000008,-20.4500000000001,54724,6442878.47181844
130,Domingos Martins,1229210059.93048,-40.6000000000008,-20.4000000000001,54393,23441532.1543602
130,Domingos Martins,1229210059.93048,-40.6500000000008,-20.2000000000001,53080,6012970.42589521
130,Domingos Martins,1229210059.93048,-40.5500000000008,-20.4000000000001,54394,9712772.47980026
130,Domingos Martins,1229210059.93048,-40.8500000000008,-20.4000000000001,54388,3683560.92750376
130,Domingos Martins,1229210059.93048,-40.8000000000008,-20.4000000000001,54389,10077403.2018305
130,Domingos Martins,1229210059.93048,-40.8500000000008,-20.2000000000001,53076,23656617.0967422
