ANA Código da Estação,Bacia Codigo,Bacia Nome,Sub-Bacia Codigo,Sub-Bacia Nome,Municipio Codigo,Nome do Municipio,Nome da Estação,Tipo Estacao,Latitude,Longitude,Altitude,Primeiro Ano com Dados,Ultimo Ano com Dados,Porcentagem de Dados  Ausentes
1840011,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18021000,Ecoporanga,Cotaxe,Pluviomêtrica,-18.18638889,-40.71833333,200,1970,2010,0
1840012,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18035000,Montanha,Fazenda Limoeiro,Pluviomêtrica,-18.1456,-40.1439,96,1970,2019,1
1840013,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18021000,Ecoporanga,Ecoporanga,Pluviomêtrica,-18.3658,-40.8406,300,1970,2019,0
1840014,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18021000,Ecoporanga,Joaçuba,Pluviomêtrica,-18.4042,-40.6867,260,1970,1999,0
1840015,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18021000,Ecoporanga,Patrimônio Santa Luzia Do Norte,Pluviomêtrica,-18.2056,-40.6033,400,1970,2019,0
1840016,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18039000,Nova Venécia,Patrimônio Xv,Pluviomêtrica,-18.4942,-40.4642,96,1970,2019,3
1840017,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18041000,Pinheiros,São João Do Sobrado,Pluviomêtrica,-18.3186,-40.4067,100,1970,2019,3
1840019,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18039000,Nova Venécia,Córrego Da Boa Esperança,Pluviomêtrica,-18.7006,-40.4419,80,1976,2019,0
1840020,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18049000,São Mateus,São João Da Cachoeira Grande,Pluviomêtrica,-18.5647,-40.3367,100,1981,2019,1
1840021,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18009000,Barra De São Francisco,Barra Do Rio Preto,Pluviomêtrica,-18.6936,-40.8828,192,1981,1999,5
1840023,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18021000,Ecoporanga,Ecoporanga,Pluviomêtrica,-18.3667,-40.8667,300,1979,1998,5
1840026,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18049000,São Mateus,Boca Da Vala,Pluviomêtrica,-18.6586,-40.0911,,1992,2019,2
1840027,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18041000,Pinheiros,Pinheiros,Pluviomêtrica,-18.4167,-40.2167,5,1999,2000,0
1840029,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18042500,Ponto Belo,Ponto Belo,Pluviomêtrica,-18.1167,-40.5333,,1999,1999,0
1840030,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18001200,Alegre,Água Doce Do Norte,Pluviomêtrica,-18.5333,-40.9667,,1999,2000,0
1840031,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18051500,Vila Pavão,Vila Pavão,Pluviomêtrica,-18.6167,-40.6,,1999,2000,0
1840032,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18030400,Jaguaré,Jaguaré,Pluviomêtrica,-18.9,-40.0667,,1999,2000,0
1840033,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18051600,Vila Valério,Vila Valério,Pluviomêtrica,-18.9833,-40.3833,,1999,2000,0
1841009,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18033000,Mantenópolis,Mantenópolis,Pluviomêtrica,-18.8389,-41.1103,900,1970,2019,1
1841010,5,"Atlântico,Trecho Leste",55,"Rios Mucuri,São Mateus E",18009000,Barra De São Francisco,Santo Agostinho,Pluviomêtrica,-18.4061,-41.04,500,1970,2019,0
1939000,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Regência,Pluviomêtrica,-19.6167,-39.8333,3,1967,1974,5
1939001,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Fazenda Caporanga,Pluviomêtrica,-19.5167,-39.8667,4,1969,1972,12
1939002,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Povoação,Pluviomêtrica,-19.5775,-39.7944,3,1974,2019,0
1940000,5,"Atlântico,Trecho Leste",56,Rio Doce,18029000,Itarana,Itarana,Pluviomêtrica,-19.8744,-40.8744,165,1947,2019,2
1940001,5,"Atlântico,Trecho Leste",56,Rio Doce,18046000,Santa Teresa,São João De Petrópolis,Pluviomêtrica,-19.8053,-40.6789,149,1947,2019,1
1940002,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18006000,Aracruz,Santa Cruz - Litoral,Pluviomêtrica,-19.9578,-40.1544,5,1947,2019,1
1940003,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18006000,Aracruz,Riacho,Pluviomêtrica,-19.7497,-40.0431,5,1947,2019,1
1940004,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Linhares Cais Do Porto,Pluviomêtrica,-19.4153,-40.0756,30,1947,1978,0
1940005,5,"Atlântico,Trecho Leste",56,Rio Doce,18025000,Ibiraçu,Cavalinho,Pluviomêtrica,-19.6922,-40.3981,50,1948,2019,1
1940006,5,"Atlântico,Trecho Leste",56,Rio Doce,18015000,Colatina,Colatina - Corpo De Bombeiros,Pluviomêtrica,-19.5308,-40.6231,40,1967,2019,0
1940007,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18022000,Fundão,Fundão,Pluviomêtrica,-19.9369,-40.4014,50,1948,2019,1
1940008,5,"Atlântico,Trecho Leste",56,Rio Doce,18015000,Colatina,Santa Maria,Pluviomêtrica,-19.6,-40.6167,,1948,1967,7
1940009,5,"Atlântico,Trecho Leste",56,Rio Doce,18040000,Pancas,Pancas,Pluviomêtrica,-19.2203,-40.8533,135,1957,2019,0
1940010,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18046000,Santa Teresa,Valsugana Velha - Montante,Pluviomêtrica,-19.9533,-40.5525,180,1956,2019,0
1940011,5,"Atlântico,Trecho Leste",56,Rio Doce,18047000,São Gabriel Da Palha,São Gabriel Da Palha,Pluviomêtrica,-19.0167,-40.5667,120,1971,1983,0
1940012,5,"Atlântico,Trecho Leste",56,Rio Doce,18027000,Itaguaçu,Itaimbé,Pluviomêtrica,-19.6636,-40.8353,70,1957,2019,0
1940013,5,"Atlântico,Trecho Leste",56,Rio Doce,18015000,Colatina,Novo Brasil,Pluviomêtrica,-19.2375,-40.5914,170,1969,2019,0
1940014,5,"Atlântico,Trecho Leste",56,Rio Doce,18029000,Itarana,Pedra Alegre,Pluviomêtrica,-19.8667,-40.75,300,1966,1983,8
1940016,5,"Atlântico,Trecho Leste",56,Rio Doce,18047000,São Gabriel Da Palha,Barra De São Gabriel,Pluviomêtrica,-19.0578,-40.5164,70,1968,2019,2
1940017,5,"Atlântico,Trecho Leste",56,Rio Doce,18027000,Itaguaçu,Itaguaçu,Pluviomêtrica,-19.8,-40.85,200,1967,1979,67
1940018,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18046000,Santa Teresa,Santa Tereza - Museu De Biologia,Pluviomêtrica,-19.9333,-40.6,550,1947,1977,0
1940019,5,"Atlântico,Trecho Leste",56,Rio Doce,18008000,Baixo Guandú,Mascarenhas,Pluviomêtrica,-19.5,-40.9,60,1970,1983,1
