date,id,evap,relHum,solarRad,tempMax,tempMin,winSpeed
25/05/1980,1,2.03557355558615,80.25,12.686267034545,27.2,14.5,0.24999975
26/05/1980,1,2.32411909676003,80.25,14.8975534549657,27.9,15.4,0.24999975
27/05/1980,1,2.31877366548718,78.75,16.3099868796782,26.4,12.8,0.24999975
28/05/1980,1,1.72600333168378,74.25,11.8851998822768,27.5,11.5,0
29/05/1980,1,1.62926746381882,79.25,8.60454012482994,25.3,14.4,0.50000025
30/05/1980,1,2.36371011242597,82,16.1604899786725,29,11.2,0.24999975
31/05/1980,1,1.8695848648487,78.5,12.6660960897644,27.4,13.5,0
01/06/1980,1,2.52326538490561,76,14.9610040670362,29.4,12.4,0.75
02/06/1980,1,1.68818736968896,74.75,10.6039843754596,28.9,14.9,0
03/06/1980,1,2.03910247063673,78.75,10.0239310289622,27.3,16.1,0.99999975
04/06/1980,1,1.72324060966306,80,7.35326877940519,21.6,15.3,1.74999975
05/06/1980,1,1.10203213406572,82.75,5.90472876657148,22.4,13.9,0
06/06/1980,1,1.84075075076953,76.25,12.0390732366192,26.4,12.6,0.24999975
07/06/1980,1,2.08369611680012,73.25,14.2066475331926,27.3,13.4,0.24999975
08/06/1980,1,1.9449078131492,74,14.9460959087038,26.8,11.5,0
09/06/1980,1,2.17941136366557,75.5,15.0295988524499,27.6,13.5,0.24999975
10/06/1980,1,1.71324586141635,79.75,8.78694137838276,25.9,12.8,0.75
11/06/1980,1,1.89942297663544,77.5,13.349590625923,27.6,13.6,0
12/06/1980,1,2.2705883769158,75.5,13.9848449217626,28,16.1,0.50000025
13/06/1980,1,2.19212473159144,72.75,14.9467782924183,29.8,11.9,0.24999975
14/06/1980,1,2.14358013870347,76.25,12.867632171401,24.2,14.6,0.99999975
15/06/1980,1,1.80303888534645,71,15.1350819121582,25.2,9.3,0
16/06/1980,1,2.03720242074542,74.25,13.6053733813636,24.3,8.3,0.75
17/06/1980,1,1.46633769199,74.5,11.4291272456461,22.3,9.6,0
18/06/1980,1,1.73671954911026,74.5,9.7984395379779,23.6,10.4,0.75
19/06/1980,1,2.26379618940278,74.75,15.7526271184776,26.8,11.6,0.50000025
20/06/1980,1,NaN,NaN,NaN,0,NaN,NaN
21/06/1980,1,1.16071047465473,73.25,6.6525722681925,24.6,13.2,0
22/06/1980,1,1.685950774521,73,8.27806507059765,21.9,11.3,0.99999975
23/06/1980,1,1.86754210176228,76.75,14.6717345073427,24.5,7.6,0.24999975
24/06/1980,1,NaN,NaN,NaN,0,NaN,NaN
25/06/1980,1,1.48523207134831,79.75,6.33758677052354,25.9,12.4,0.75
26/06/1980,1,1.1966348539501,82.75,5.80027275867603,19.2,10.9,0.75
27/06/1980,1,1.49553839323421,79.75,8.84561681743823,22.5,11.6,0.50000025
28/06/1980,1,1.40084949458409,77.25,10.2673300314233,21.5,10.9,0
29/06/1980,1,2.13076530808577,76.75,15.6083048170154,25.6,8.2,0.50000025
30/06/1980,1,2.28363824462786,75.75,15.5187582822461,26.4,7.3,0.75
01/07/1980,1,2.12912795727093,75.75,16.1941554279356,27.6,7.8,0.24999975
02/07/1980,1,2.06209214605227,73.75,16.545984906446,28.1,9.6,0
03/07/1980,1,1.46396992569624,76.25,10.2330141265496,24.9,10.6,0
04/07/1980,1,2.10403890608005,72.5,13.8652556064565,25.8,12.6,0.50000025
05/07/1980,1,1.45242382562251,77.75,7.53138312623172,23.3,13.5,0.50000025
06/07/1980,1,1.3956466302138,78.25,7.87824120616956,23.8,13.3,0.24999975
07/07/1980,1,1.36763613345637,78.75,9.10809500961558,24.1,10.5,0
08/07/1980,1,1.9412778295853,76,13.8736211671962,23.7,8.2,0.50000025
09/07/1980,1,2.11616830913036,71.25,13.1338984724674,27.3,12,0.50000025
10/07/1980,1,1.68247770665458,78.75,11.2846444341897,26.8,12.5,0
11/07/1980,1,2.13977877268732,74.25,15.6467526427976,27.1,13.9,0
12/07/1980,1,2.15801475933648,70.25,13.1298811302442,28.4,10.5,0.50000025
13/07/1980,1,2.02504678550027,74.25,15.6239381544176,27.6,9.6,0
14/07/1980,1,1.35155261229167,74.25,8.28557424802136,26.9,10.8,0
15/07/1980,1,2.67241246617046,73.5,12.4656813435702,24.8,11.3,2.25
16/07/1980,1,1.24103454030023,76.75,6.31815024692607,21.3,13.8,0.24999975
17/07/1980,1,1.98066021360625,77.25,15.0326799892352,26.5,9.3,0
18/07/1980,1,2.06292845478846,74.75,13.6129046643163,28.2,10.3,0.24999975
19/07/1980,1,1.6784668168229,73,11.2772594112116,25.4,13.3,0
20/07/1980,1,2.58186023921966,70,17.4711730143131,28.6,9.1,0.50000025
21/07/1980,1,2.46421119358715,68.75,17.0781633630182,30,10.2,0.24999975
22/07/1980,1,2.30549375669003,75.75,14.6198883909741,29.3,13.1,0.24999975
23/07/1980,1,2.07455493899233,75.5,9.61477811132959,26.9,14.2,0.99999975
24/07/1980,1,2.03451201088898,75.75,11.8497070578077,25.4,14.9,0.50000025
25/07/1980,1,1.87821243628833,74.75,13.8695284325226,24.3,10.3,0
26/07/1980,1,2.92076079930957,71.5,17.4165803396058,28.6,7.2,0.99999975
27/07/1980,1,2.09519189793989,72.5,14.6877755578982,29.2,10.4,0
28/07/1980,1,2.99779918816911,72.5,17.7973530655422,28.2,12.3,0.99999975
29/07/1980,1,2.72336464904825,74,17.2856763239628,29.3,10.8,0.50000025
30/07/1980,1,NaN,NaN,18.7778740904477,30.9,11.6,0.75
31/07/1980,1,2.06484895355665,70.25,6.65286437541236,22.7,13.9,1.74999975
01/08/1980,1,1.22763480971192,76.75,6.80737039707618,21.2,12.6,0
02/08/1980,1,2.15764355677668,76.5,11.0252168076426,22.4,10.9,1.5
03/08/1980,1,2.49614629390256,72.75,16.4769466864272,23.9,9.5,0.75
04/08/1980,1,1.46777527588131,82,7.28036965681258,22.4,13.5,0.50000025
05/08/1980,1,2.72247053646442,78,16.7529398132665,25.9,14.3,0.75
06/08/1980,1,3.38128589152602,71,18.2897507490342,29.4,13.2,1.25000025
07/08/1980,1,2.79421608099813,71,18.6203326694929,29.9,14.5,0
08/08/1980,1,3.27543861417042,70,17.851908597979,30,12.9,0.99999975
